BIOGRID_ID	IDENTIFIER_VALUE
108382	O95677
116426	Q9UMR2
108385	P28715
122015	Q9HAW4
108390	P84090
108391	O75460
108395	Q14264
121920	Q9HC16
108403	P03372
108404	Q92731
108405	P11474
108406	O95718
108407	P62508
108409	P13804
108410	P38117
108411	Q16134
120676	Q7L592
121945	Q9H5Z1
108416	P50549
108418	P41162
108420	P41161
108422	P57679
108423	Q13465
108423	Q03112
108424	P22794
108425	P34910
108429	P49640
108432	Q16394
108435	Q92935
108436	Q9UBQ6
108438	O43909
108439	Q99502
108440	O00167
120177	Q96QT4
121692	Q9P1Z2
122498	O43414
121906	Q96A65
108447	P00734
108450	O00254
108451	P13726
108452	P12259
108453	P08709
108455	P00451
108456	P00740
108457	P00742
108458	P03951
108459	P00748
108460	P00488
108463	P05160
108464	O00519
108465	P15090
108466	P07148
108467	P12104
108468	P05413
108469	Q01469
108470	P51161
108471	O15540
122380	Q70E73
120780	Q9NX58
121883	Q9HBA0
120473	Q9NVR2
108479	P16930
121686	Q96QT6
119632	Q8N6R0
108483	Q9NPI8
108484	O15287
108485	Q12884
108486	P23142
108487	Q9Y285
108489	Q14517
108490	Q9NYQ8
108491	P35544
108493	P98095
108494	P35555
108497	P09467
108498	P24071
108499	P12319
108500	Q01362
108501	P30273
108502	P06734
108503	P12314
108504	Q92637
108506	P12318
108507	P31994
108508	P08637
108509	O75015
108511	P55899
108512	O75072
108513	O00602
108514	Q15485
110567	O43795
108517	P14324
108521	P10109
111290	P50453
108528	P39748
108530	O75487
123723	Q8IXQ6
108534	P02671
108535	P02675
108536	P98174
108537	P05230
108538	P09038
108539	P11487
108540	P08620
108541	P12034
108542	P10767
108543	P21781
108544	P55075
108545	P31371
108546	O15520
108547	Q92914
108548	P61328
108549	Q92913
108550	Q92915
111260	P06401
111239	O94921
108552	P22607
108553	P78333
108554	P21802
111232	P17858
108557	P02679
108558	Q08830
111224	Q9UHV9
108563	P49789
111186	P08559
110226	P09960
108567	O43915
108570	P62942
108571	P68106
108576	P26885
111169	Q08493
108579	Q13451
108580	P55316
108583	Q12946
108584	Q12947
108585	Q12948
108586	Q16676
108587	Q12950
108588	Q12951
108589	Q12952
108590	Q13461
108591	Q92949
108592	Q99958
108593	O00358
108594	Q08050
108595	O60548
108596	O43638
108597	Q12778
108598	O43524
108601	P20930
108603	Q13045
108604	Q16655
123698	Q6DCA0
108606	O75369
108607	Q14315
108609	P17948
108611	P49771
108612	P35916
108613	Q01740
108614	Q99518
108615	P31513
108616	P31512
108617	P49326
108618	Q06828
108619	Q06787
108620	P51816
118917	Q9NTK5
118900	Q9NZR1
118895	Q9UHP3
108625	P49354
108627	P49356
108630	Q04609
108631	P15328
108633	P14207
108635	P41439
108636	P01100
108637	P53539
108640	P21462
108641	P25090
108642	P25089
108677	Q16595
108726	P42685
122279	Q9H8X2
108764	Q14331
108765	Q92765
108766	P01225
122271	Q5VT66
108770	P23945
108772	O00482
108773	P02794
108789	P02792
108791	Q99965
122269	Q96GQ5
108075	Q8WYJ6
108793	P04066
108795	Q9BTY2
108796	P01350
108799	P19526
108800	Q10981
108801	P21217
108802	P22083
108803	Q11128
108804	P51993
108805	Q11130
108806	Q9BYC5
108808	Q16570
116973	Q9NQ11
116971	Q96BP3
108811	Q14332
108812	P09912
108813	P35575
108814	P11413
108817	O43826
108818	Q13068
108822	P12956
108823	P10253
108824	Q13480
108825	Q9UBS5
116965	Q8IUH5
108828	P14867
108829	P47869
108830	P34903
108831	P48169
108832	P31644
108833	Q16445
108835	P47870
108838	P78334
108839	Q8N1C3
108840	P18507
108841	Q99928
108842	O00591
108844	P28476
108845	Q99259
108846	Q05329
108847	Q13066
108849	Q13068
108849	Q13069
108850	Q13069
108851	Q13070
108852	P0CL81
108852	P0CL80
108852	O76087
108852	P0CL82
115742	Q92581
108854	P54803
108855	Q14376
108857	P51570
115723	Q9Y6A5
108859	P47211
108860	P34059
115718	O75521
115714	Q9UNP9
108863	Q14435
108864	P07902
108865	Q14353
108866	Q8TET4
108868	P04406
108885	Q14392
122265	Q9HAU4
108889	P54826
108890	O43903
108891	Q14393
108892	O95995
108893	P15976
108894	P23769
108895	P23771
108896	P43694
108897	Q92908
108898	P50440
108899	P04062
108901	O75323
108902	Q04446
108903	P32455
108904	P32456
106617	P55265
108906	Q14549
108907	P52951
108908	P02774
108911	P01275
108912	P47871
108914	P30047
108915	P35557
108916	Q14397
108917	P78537
108918	Q92830
108919	Q15406
108920	Q02742
108921	Q8NFS9
108921	Q06430
108921	Q8N0V5
108922	P04001
108923	P23434
108927	P27539
108928	Q9UK05
108929	O14793
108930	O60383
108931	P55107
108932	P31150
108936	P39905
108937	P55040
121391	Q9HD34
108939	P55789
108940	Q99684
108942	P56159
108943	O00451
108944	O60609
108946	P19440
108950	P15291
108953	Q9UJ14
108954	P36269
108955	P01241
108956	P01242
108957	P10912
108958	P01286
108959	Q02643
108960	Q92847
108961	P27352
108962	P09681
108963	P48546
108964	P17302
108968	P35212
108969	P36382
108970	P48165
107410	P04233
108973	O75712
108974	O95377
108977	Q14410
108981	P06280
108983	P51654
121368	Q9NQ89
121370	Q96AD5
